AREA_ACRE,Lam_X,Lam_Y,Yr
44.68,3526706.7,2271949.681,2012
36.0923,3520957.003,2274420.56,2012
17.6874,3519766.444,2272377.292,2012
80.0954,3520971.542,2271347.626,2012
67.2197,3518272.01,2270854.614,2012
55.9095,3519208.902,2269452.999,2012
67.1876,3520599.682,2269420.285,2012
32.737,3517809.413,2267820.692,2012
97.5064,3518329.863,2264693.486,2012
142.503,3525973.621,2265086.682,2012
62.2479,3528295.637,2268585.098,2012
55.3383,3528929.236,2269668.629,2012
136.881,3531192.365,2269074.344,2012
21.1145,3530551.46,2266973.412,2012
69.3916,3529920.85,2265862.851,2012
69.3003,3532451.601,2265762.159,2012
31.3836,3534558.248,2265878.615,2012
68.2691,3536174.665,2266092.668,2012
38.2385,3537795.436,2265852.441,2012
38.3746,3537799.366,2267204.005,2012
188.439,3533826.123,2268830.804,2012
40.2255,3536620.664,2269617.135,2012
44.8887,3536346.347,2268714.685,2012
119.716,3539047.402,2269151.926,2012
139.719,3538490.046,2263890.431,2012
82.1513,3536199.038,2264039.18,2012
156.279,3536515.694,2261605.825,2012
175.014,3533899.186,2261518.561,2012
133.898,3531261.277,2263764.17,2012
137.243,3528605.92,2263810.289,2012
144.136,3528658.081,2261162.833,2012
138.101,3531279.364,2261224.632,2012
40.2095,3526638.699,2261830.392,2012
38.4152,3526669.648,2260471.154,2012
67.9666,3525824.246,2262629.518,2012
26.2681,3520073.323,2263075.494,2012
29.8513,3520099.176,2263883.494,2012
22.8376,3518751.976,2262473.149,2012
134.415,3520723.631,2261089.221,2012
20.9105,3521437.251,2263033.124,2012
112.186,3518273.923,2255707.971,2012
134.813,3520813.125,2255847.178,2012
121.315,3520741.759,2258439.219,2012
16.375,3519253.714,2257692.661,2012
16.9042,3519246.509,2259157.135,2012
21.2811,3522611.583,2258928.235,2012
63.6034,3522951.082,2257349.243,2012
76.7836,3523455.161,2255455.164,2012
138.626,3525385.439,2258467.508,2012
143.024,3528684.581,2258509.101,2012
140.095,3533945.888,2258552.414,2012
37.4488,3533328.042,2256601.577,2012
28.2822,3525368.846,2253948.401,2012
43.0229,3525536.62,2251939.891,2012
32.5925,3525554.517,2250622.783,2012
27.3959,3525593.147,2249938.86,2012
149.389,3523534.144,2250628.144,2012
147.31,3523522.495,2253265.691,2012
135.994,3519598.363,2253262.983,2012
62.435,3521406.713,2253233.928,2012
160.74,3520819.909,2250563.475,2012
65.0866,3518330.442,2248608.423,2012
133.874,3520858.677,2247935.355,2012
135.807,3520966.712,2245311.629,2012
116.752,3518338.205,2245247.928,2012
155.685,3523526.773,2247882.163,2012
34.8986,3522891.187,2246410.968,2012
37.4147,3522938.479,2245290.441,2012
30.3623,3524345.634,2244820.23,2012
45.4975,3525475.732,2245454.241,2012
26.415,3524273.585,2246021.825,2012
96.4483,3526040.193,2248146.699,2012
78.1607,3523014.565,2242119.189,2012
13.9694,3521702.37,2239239.453,2012
17.4872,3521314.415,2239688.683,2012
101.719,3520840.508,2240353.985,2012
153.102,3520941.781,2242583.425,2012
81.7417,3533779.303,2264185.69,2012
11.3464,3441274.408,2305424.035,2012
54.2511,2974429.557,2079296.111,2012
125.242,3019120.705,2077130.658,2012
118.325,3019140.189,2073258.324,2012
53.2258,3001032.943,2062118.181,2012
74.4195,2998646.247,2062471.167,2012
19.7612,2998455.192,2063688.004,2012
122.537,2981325.939,2061725.46,2012
58.4424,3079605.537,2014024.765,2012
28.4423,3039711.332,2005161.867,2012
27.5816,3039882.279,2003883.961,2012
101.841,3038019.233,2001747.402,2012
67.6159,3035163.691,2001562.772,2012
